DrugA,DrugB,Interaction
Cefadroxil,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefadroxil.
Cefalotin,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefalotin.
Cefamandole,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefamandole.
Cefamandole nafate,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefamandole nafate.
Cefapirin,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefapirin.
Cefazolin,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefazolin.
Cefdinir,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefdinir.
Cefditoren,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefditoren.
Cefepime,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefepime.
Cefixime,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefixime.
Cefmenoxime,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefmenoxime.
Cefmetazole,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefmetazole.
Cefonicid,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefonicid.
Cefoperazone,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefoperazone.
Ceforanide,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Ceforanide.
Cefotaxime,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefotaxime.
Cefotetan,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefotetan.
Cefotiam,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefotiam.
Cefoxitin,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefoxitin.
Cefpiramide,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefpiramide.
Cefpirome,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefpirome.
Cefpodoxime,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefpodoxime.
Cefprozil,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefprozil.
Cefradine,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefradine.
Ceftaroline fosamil,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Ceftaroline fosamil.
Ceftazidime,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Ceftazidime.
Ceftibuten,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Ceftibuten.
Ceftizoxime,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Ceftizoxime.
Ceftobiprole,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Ceftobiprole.
Ceftolozane,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Ceftolozane.
Ceftriaxone,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Ceftriaxone.
Cefuroxime,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefuroxime.
Celecoxib,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Celecoxib is combined with Dabigatran.
Cephalexin,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cephalexin.
Cephaloglycin,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cephaloglycin.
Chenodeoxycholic acid,Dabigatran,The risk or severity of bleeding and bruising can be increased when Dabigatran is combined with Chenodeoxycholic acid.
Chlorambucil,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Chlorambucil.
Chloramphenicol,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Chloramphenicol.
Chlorothiazide,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Chlorothiazide.
Cholic Acid,Dabigatran,The risk or severity of bleeding and bruising can be increased when Dabigatran is combined with Cholic Acid.
Choline magnesium trisalicylate,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Choline magnesium trisalicylate is combined with Dabigatran.
Choline salicylate,Dabigatran,The risk or severity of bleeding can be increased when Choline salicylate is combined with Dabigatran.
Cilostazol,Dabigatran,The risk or severity of bleeding can be increased when Cilostazol is combined with Dabigatran.
Cisplatin,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Cisplatin.
Citalopram,Dabigatran,The risk or severity of hemorrhage can be increased when Citalopram is combined with Dabigatran.
Cladribine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Cladribine.
Clofarabine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Clofarabine.
Clopidogrel,Dabigatran,The risk or severity of bleeding can be increased when Clopidogrel is combined with Dabigatran.
Coagulation Factor IX (Recombinant),Dabigatran,The therapeutic efficacy of Coagulation Factor IX (Recombinant) can be decreased when used in combination with Dabigatran.
Coagulation Factor IX Human,Dabigatran,The therapeutic efficacy of Coagulation Factor IX Human can be decreased when used in combination with Dabigatran.
Coagulation factor VII human,Dabigatran,The therapeutic efficacy of Coagulation factor VII human can be decreased when used in combination with Dabigatran.
Coagulation factor VIIa Recombinant Human,Dabigatran,The therapeutic efficacy of Coagulation factor VIIa Recombinant Human can be decreased when used in combination with Dabigatran.
Coagulation factor X human,Dabigatran,The therapeutic efficacy of Coagulation factor X human can be decreased when used in combination with Dabigatran.
Collagenase clostridium histolyticum,Dabigatran,The risk or severity of adverse effects can be increased when Dabigatran is combined with Collagenase clostridium histolyticum.
Conjugated estrogens,Dabigatran,Conjugated estrogens may decrease the anticoagulant activities of Dabigatran.
Cyclopenthiazide,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cyclopenthiazide.
Cyclophosphamide,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Cyclophosphamide.
Cyclothiazide,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cyclothiazide.
Cyproterone acetate,Dabigatran,The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Dabigatran.
Cytarabine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Cytarabine.
Dabigatran etexilate,Dabigatran,Dabigatran etexilate may increase the anticoagulant activities of Dabigatran.
Dacarbazine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Dacarbazine.
Dactinomycin,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Dactinomycin.
Dalteparin,Dabigatran,The risk or severity of bleeding can be increased when Dalteparin is combined with Dabigatran.
Damoctocog alfa pegol,Dabigatran,The therapeutic efficacy of Damoctocog alfa pegol can be decreased when used in combination with Dabigatran.
Danaparoid,Dabigatran,The risk or severity of bleeding can be increased when Danaparoid is combined with Dabigatran.
Dasatinib,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Dabigatran.
Daunorubicin,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Daunorubicin.
Decitabine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Decitabine.
Deferasirox,Dabigatran,The risk or severity of gastrointestinal bleeding can be increased when Dabigatran is combined with Deferasirox.
Defibrotide,Dabigatran,The risk or severity of bleeding can be increased when Defibrotide is combined with Dabigatran.
Dehydrocholic acid,Dabigatran,The risk or severity of bleeding and bruising can be increased when Dabigatran is combined with Dehydrocholic acid.
Deoxycholic acid,Dabigatran,The risk or severity of bleeding and bruising can be increased when Dabigatran is combined with Deoxycholic acid.
Desirudin,Dabigatran,The risk or severity of bleeding can be increased when Desirudin is combined with Dabigatran.
Desogestrel,Dabigatran,The risk or severity of adverse effects can be increased when Desogestrel is combined with Dabigatran.
Desvenlafaxine,Dabigatran,The risk or severity of hemorrhage can be increased when Desvenlafaxine is combined with Dabigatran.
Dexketoprofen,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Dexketoprofen is combined with Dabigatran.
Dexrazoxane,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Dexrazoxane.
Dextran,Dabigatran,The risk or severity of bleeding can be increased when Dextran is combined with Dabigatran.
Diclofenac,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Diclofenac is combined with Dabigatran.
Dicoumarol,Dabigatran,The risk or severity of bleeding can be increased when Dicoumarol is combined with Dabigatran.
Dienogest,Dabigatran,The risk or severity of adverse effects can be increased when Dienogest is combined with Dabigatran.
Diethylstilbestrol,Dabigatran,Diethylstilbestrol may decrease the anticoagulant activities of Dabigatran.
Diflunisal,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Dabigatran.
Dinutuximab,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Dinutuximab.
Dipyridamole,Dabigatran,The risk or severity of bleeding can be increased when Dipyridamole is combined with Dabigatran.
Docetaxel,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Docetaxel.
Doxorubicin,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Doxorubicin.
Doxycycline,Dabigatran,The risk or severity of bleeding can be increased when Doxycycline is combined with Dabigatran.
Drospirenone,Dabigatran,The risk or severity of adverse effects can be increased when Drospirenone is combined with Dabigatran.
Drostanolone propionate,Dabigatran,Drostanolone propionate may increase the anticoagulant activities of Dabigatran.
Drotrecogin alfa,Dabigatran,The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Dabigatran.
Duloxetine,Dabigatran,The risk or severity of hemorrhage can be increased when Duloxetine is combined with Dabigatran.
Dydrogesterone,Dabigatran,Dydrogesterone may decrease the anticoagulant activities of Dabigatran.
Edetate calcium disodium anhydrous,Dabigatran,The risk or severity of bleeding can be increased when Edetate calcium disodium anhydrous is combined with Dabigatran.
Edetic acid,Dabigatran,The risk or severity of bleeding can be increased when Edetic acid is combined with Dabigatran.
Edoxaban,Dabigatran,The risk or severity of bleeding can be increased when Edoxaban is combined with Dabigatran.
Eftrenonacog alfa,Dabigatran,The therapeutic efficacy of Eftrenonacog alfa can be decreased when used in combination with Dabigatran.
Emicizumab,Dabigatran,The therapeutic efficacy of Emicizumab can be decreased when used in combination with Dabigatran.
Enoxaparin,Dabigatran,The risk or severity of bleeding can be increased when Enoxaparin is combined with Dabigatran.
Epirubicin,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Epirubicin.
Epoprostenol,Dabigatran,The risk or severity of bleeding can be increased when Epoprostenol is combined with Dabigatran.
Eptifibatide,Dabigatran,The risk or severity of bleeding can be increased when Eptifibatide is combined with Dabigatran.
Eribulin,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Eribulin.
Erythromycin,Dabigatran,The risk or severity of bleeding can be increased when Erythromycin is combined with Dabigatran.
Escitalopram,Dabigatran,The risk or severity of bleeding can be increased when Escitalopram is combined with Dabigatran.
Esterified estrogens,Dabigatran,Esterified estrogens may decrease the anticoagulant activities of Dabigatran.
Estetrol,Dabigatran,The risk or severity of adverse effects can be increased when Estetrol is combined with Dabigatran.
Estradiol,Dabigatran,The risk or severity of adverse effects can be increased when Estradiol is combined with Dabigatran.
Estradiol acetate,Dabigatran,Estradiol acetate may decrease the anticoagulant activities of Dabigatran.
Estradiol benzoate,Dabigatran,Estradiol benzoate may decrease the anticoagulant activities of Dabigatran.
Estradiol cypionate,Dabigatran,Estradiol cypionate may decrease the anticoagulant activities of Dabigatran.
Estradiol valerate,Dabigatran,Estradiol valerate may decrease the anticoagulant activities of Dabigatran.
Estriol,Dabigatran,Estriol may decrease the anticoagulant activities of Dabigatran.
Estrone sulfate,Dabigatran,Estrone sulfate may decrease the anticoagulant activities of Dabigatran.
Ethinylestradiol,Dabigatran,The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Dabigatran.
Ethynodiol diacetate,Dabigatran,The risk or severity of adverse effects can be increased when Ethynodiol diacetate is combined with Dabigatran.
Etodolac,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Etodolac is combined with Dabigatran.
Etonogestrel,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Etonogestrel.
Etoposide,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Etoposide.
Etoricoxib,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Etoricoxib is combined with Dabigatran.
Everolimus,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Everolimus.
Factor IX Complex (Human),Dabigatran,The therapeutic efficacy of Factor IX Complex (Human) can be decreased when used in combination with Dabigatran.
Factor XIII (human),Dabigatran,The therapeutic efficacy of Factor XIII (human) can be decreased when used in combination with Dabigatran.
Fenbufen,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Fenbufen is combined with Dabigatran.
Fenoprofen,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Fenoprofen is combined with Dabigatran.
Fibrinogen human,Dabigatran,The therapeutic efficacy of Fibrinogen human can be decreased when used in combination with Dabigatran.
Floctafenine,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Floctafenine is combined with Dabigatran.
Floxuridine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Floxuridine.
Flucytosine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Flucytosine.
Fludarabine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Fludarabine.
Fluindione,Dabigatran,The risk or severity of bleeding can be increased when Fluindione is combined with Dabigatran.
Fluorouracil,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Fluorouracil.
Fluoxetine,Dabigatran,The risk or severity of hemorrhage can be increased when Fluoxetine is combined with Dabigatran.
Flurbiprofen,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Flurbiprofen is combined with Dabigatran.
Fluvoxamine,Dabigatran,The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Dabigatran.
Fondaparinux,Dabigatran,The risk or severity of bleeding can be increased when Fondaparinux is combined with Dabigatran.
Gemcitabine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Gemcitabine.
Gemtuzumab ozogamicin,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Gemtuzumab ozogamicin.
Gestrinone,Dabigatran,The risk or severity of adverse effects can be increased when Gestrinone is combined with Dabigatran.
Ginkgo biloba,Dabigatran,Ginkgo biloba may increase the anticoagulant activities of Dabigatran.
Glycol salicylate,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Glycol salicylate is combined with Dabigatran.
Hemin,Dabigatran,Hemin may increase the anticoagulant activities of Dabigatran.
Heparin,Dabigatran,The risk or severity of bleeding can be increased when Heparin is combined with Dabigatran.
Hydrochlorothiazide,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Hydrochlorothiazide.
Hydroflumethiazide,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Hydroflumethiazide.
Hydroxyprogesterone caproate,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Hydroxyprogesterone caproate.
Hydroxyurea,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Hydroxyurea.
Ibritumomab tiuxetan,Dabigatran,The risk or severity of adverse effects can be increased when Dabigatran is combined with Ibritumomab tiuxetan.
Ibrutinib,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Dabigatran.
Icosapent,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Icosapent is combined with Dabigatran.
Icosapent ethyl,Dabigatran,The risk or severity of bleeding can be increased when Icosapent ethyl is combined with Dabigatran.
Idarubicin,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Idarubicin.
Ifosfamide,Dabigatran,The risk or severity of bleeding can be increased when Ifosfamide is combined with Dabigatran.
Iloprost,Dabigatran,The risk or severity of bleeding can be increased when Iloprost is combined with Dabigatran.
Imatinib,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Imatinib.
Indomethacin,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Indomethacin is combined with Dabigatran.
Interferon alfa-2a,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Interferon alfa-2a.
Interferon alfa-2b,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Interferon alfa-2b.
Interferon alfa-n1,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Interferon alfa-n1.
Interferon alfa-n3,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Interferon alfa-n3.
Interferon alfacon-1,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Interferon alfacon-1.
Interferon beta-1b,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Interferon beta-1b.
Interferon gamma-1b,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Interferon gamma-1b.
Irinotecan,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Irinotecan.
Isocarboxazid,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Isocarboxazid is combined with Dabigatran.
Isoxicam,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Isoxicam is combined with Dabigatran.
Ixabepilone,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Ixabepilone.
Ketoprofen,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Ketoprofen is combined with Dabigatran.
Ketorolac,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Ketorolac is combined with Dabigatran.
Latamoxef,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Latamoxef.
Lenalidomide,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Lenalidomide.
Lepirudin,Dabigatran,The risk or severity of bleeding can be increased when Lepirudin is combined with Dabigatran.
Levocarnitine,Dabigatran,The therapeutic efficacy of Dabigatran can be increased when used in combination with Levocarnitine.
Levomilnacipran,Dabigatran,The risk or severity of hemorrhage can be increased when Levomilnacipran is combined with Dabigatran.
Levonorgestrel,Dabigatran,The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Dabigatran.
Linezolid,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Dabigatran.
Lomustine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Lomustine.
Loracarbef,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Loracarbef.
Lornoxicam,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Lornoxicam is combined with Dabigatran.
Loxoprofen,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Loxoprofen is combined with Dabigatran.
Lumiracoxib,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Lumiracoxib is combined with Dabigatran.
Lynestrenol,Dabigatran,The risk or severity of adverse effects can be increased when Lynestrenol is combined with Dabigatran.
Mechlorethamine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Mechlorethamine.
Meclofenamic acid,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Meclofenamic acid is combined with Dabigatran.
Medrogestone,Dabigatran,Medrogestone may decrease the anticoagulant activities of Dabigatran.
Medroxyprogesterone acetate,Dabigatran,The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Dabigatran.
Mefenamic acid,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Mefenamic acid is combined with Dabigatran.
Megestrol acetate,Dabigatran,The risk or severity of adverse effects can be increased when Megestrol acetate is combined with Dabigatran.
Meloxicam,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Meloxicam is combined with Dabigatran.
Melphalan,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Melphalan.
Menthyl salicylate,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Menthyl salicylate is combined with Dabigatran.
Mercaptopurine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Mercaptopurine.
Mesalazine,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Mesalazine is combined with Dabigatran.
Mestranol,Dabigatran,Mestranol may decrease the anticoagulant activities of Dabigatran.
Metamizole,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Metamizole is combined with Dabigatran.
